;DefaultBubbleSort случайные значения от 0 до 9
1000;6544804
2000;26346827
3000;58454217
4000;103936804
5000;162572702
6000;234042231
7000;318638386
8000;416415833
;BubbleSort1 случайные значения от 0 до 9
1000;6698835
2000;27024603
3000;59854435
4000;106563735
5000;166767371
6000;240059571
7000;326884585
8000;427265981
;BubbleSort2 случайные значения от 0 до 9
1000;5660859
2000;22565405
3000;51773501
4000;91941045
5000;143321509
6000;206568602
7000;281059787
8000;367168377
;Insert случайные значения от 0 до 9
1000;3639762
2000;14847914
3000;31932274
4000;56794762
5000;89040914
6000;128102410
7000;174500130
8000;228331258
;BinInsert случайные значения от 0 до 9
1000;2795841
2000;11280153
3000;24176401
4000;42908715
5000;67181423
6000;96567265
7000;131456581
8000;171921807
;CountSort случайные значения от 0 до 9
1000;24099
2000;48099
3000;72099
4000;96099
5000;120099
6000;144099
7000;168099
8000;192099
;radixSort случайные значения от 0 до 9
1000;138395
2000;262395
3000;386395
4000;510395
5000;634395
6000;758395
7000;882395
8000;1006395
;DefaultBubbleSort от 0 до 10000
1000;6747511
2000;27082127
3000;60843375
4000;108286756
5000;169073042
6000;243085521
7000;330769198
8000;432363194
;BubbleSort1 от 0 до 10000
1000;6995113
2000;28081881
3000;63099575
4000;112280021
5000;175328553
6000;252092685
7000;342988185
8000;448329576
;BubbleSort2 от 0 до 10000
1000;5983311
2000;23857655
3000;53845032
4000;95578305
5000;149573960
6000;215728660
7000;293915828
8000;383052424
;Insert от 0 до 10000
1000;4000130
2000;16155114
3000;36179666
4000;64528010
5000;100597074
6000;144179370
7000;196066018
8000;256682122
;BinInsert от 0 до 10000
1000;3065725
2000;12259693
3000;27360377
4000;48706757
5000;75845767
6000;108621711
7000;147627291
8000;193181097
;CountSort от 0 до 10000
1000;103917
2000;127917
3000;151935
4000;175935
5000;199977
6000;224003
7000;248003
8000;272003
;radixSort от 0 до 10000
1000;138395
2000;262395
3000;386395
4000;510395
5000;634395
6000;758395
7000;882395
8000;1006395
;DefaultBubbleSort «Почти» отсортированный массив
1000;4528723
2000;18073253
3000;40611753
4000;72173203
5000;112702703
6000;162304518
7000;220816018
8000;288384632
;BubbleSort1 «Почти» отсортированный массив
1000;74043
2000;15417796
3000;26536796
4000;69791468
5000;99251468
6000;161967896
7000;213403896
8000;280898600
;BubbleSort2 «Почти» отсортированный массив
1000;8470287
2000;33923087
3000;76382587
4000;135816616
5000;212286116
6000;305675303
7000;416164803
8000;543590843
;Insert «Почти» отсортированный массив
1000;55618
2000;139338
3000;212338
4000;326138
5000;383138
6000;568698
7000;593698
8000;720234
;BinInsert «Почти» отсортированный массив
1000;107017
2000;246829
3000;384457
4000;556057
5000;685057
6000;915643
7000;1026643
8000;1214513
;CountSort «Почти» отсортированный массив
1000;85153
2000;109153
3000;133153
4000;157153
5000;181153
6000;205153
7000;229153
8000;256743
;radixSort «Почти» отсортированный массив
1000;138395
2000;262395
3000;386395
4000;510395
5000;634395
6000;758395
7000;882395
8000;1006395
;DefaultBubbleSort Отсортированный в обратном порядке числами от 10000 до 1
1000;8997997
2000;35995997
3000;80993997
4000;143991997
5000;224989997
6000;323987997
7000;440985997
8000;575983997
;BubbleSort1 Отсортированный в обратном порядке числами от 10000 до 1
1000;9497503
2000;37995003
3000;85492503
4000;151990003
5000;237487503
6000;341985003
7000;465482503
8000;607980003
;BubbleSort2 Отсортированный в обратном порядке числами от 10000 до 1
1000;7002
2000;14002
3000;21002
4000;28002
5000;35002
6000;42002
7000;49002
8000;56002
;Insert Отсортированный в обратном порядке числами от 10000 до 1
1000;8000994
2000;32001994
3000;72002994
4000;128003994
5000;200004994
6000;288005994
7000;392006994
8000;512007994
;BinInsert Отсортированный в обратном порядке числами от 10000 до 1
1000;6060797
2000;24133647
3000;54212353
4000;96291353
5000;150375771
6000;216460771
7000;294545771
8000;384630771
;CountSort Отсортированный в обратном порядке числами от 10000 до 1
1000;34009
2000;68009
3000;102009
4000;136009
5000;170009
6000;204009
7000;238009
8000;272009
;radixSort Отсортированный в обратном порядке числами от 10000 до 1
1000;138395
2000;262395
3000;386395
4000;510395
5000;634395
6000;758395
7000;882395
8000;1006395
